flight_date,origin,destination,fare_class,booking_channel,passengers,avg_fare,revenue,load_factor
2024-01-03,SFO,SEA,Premium Economy,Website,4,261.81,1047.24,0.94
2024-01-03,SFO,SEA,Business,Mobile App,8,726.84,5814.72,0.7
2024-01-03,SFO,SEA,First,Corporate,11,1513.42,16647.62,0.95
2024-01-03,MIA,ATL,Economy,Mobile App,50,144.92,7246.0,0.93
2024-01-03,MIA,ATL,Premium Economy,Website,23,244.13,5614.99,0.89
2024-01-03,MIA,ATL,Business,Corporate,17,765.11,13006.87,0.66
2024-01-03,MIA,ATL,First,Website,4,1165.73,4662.92,0.92
2024-01-03,BOS,DCA,Economy,Mobile App,122,105.81,12908.82,0.7
2024-01-03,BOS,DCA,Premium Economy,Mobile App,14,250.11,3501.54,0.72
2024-01-03,BOS,DCA,Business,Travel Agent,19,784.9,14913.1,0.7
2024-01-03,BOS,DCA,First,Corporate,36,1340.36,48252.96,0.69
2024-01-04,JFK,SFO,Economy,Corporate,85,114.41,9724.85,0.74
2024-01-04,JFK,SFO,Premium Economy,Website,38,272.37,10350.06,0.63
2024-01-04,JFK,SFO,Business,Website,2,735.35,1470.7,0.77
2024-01-04,JFK,SFO,First,Mobile App,6,1154.96,6929.76,0.96
2024-01-04,LAX,SEA,Economy,Travel Agent,174,130.72,22745.28,0.91
2024-01-04,LAX,SEA,Premium Economy,Travel Agent,28,289.1,8094.8,0.69
2024-01-04,LAX,SEA,Business,Travel Agent,14,686.18,9606.52,0.73
2024-01-04,LAX,SEA,First,Corporate,13,1339.06,17407.78,0.81
2024-01-04,JFK,MIA,Economy,Travel Agent,5,117.96,589.8,0.68
2024-01-04,JFK,MIA,Premium Economy,Mobile App,39,278.5,10861.5,0.81
2024-01-04,JFK,MIA,Business,Travel Agent,30,657.7,19731.0,0.84
2024-01-04,JFK,MIA,First,Corporate,12,1407.52,16890.24,0.83
2024-01-04,DEN,ORD,Economy,Travel Agent,167,124.39,20773.13,0.82
2024-01-04,DEN,ORD,Premium Economy,Website,17,331.81,5640.77,0.84
2024-01-04,DEN,ORD,Business,Mobile App,11,766.49,8431.39,0.56
2024-01-04,DEN,ORD,First,Mobile App,6,1519.35,9116.1,0.75
2024-01-04,JFK,LAX,Economy,Mobile App,103,136.32,14040.96,0.76
2024-01-04,JFK,LAX,Premium Economy,Mobile App,2,239.77,479.54,0.93
2024-01-04,JFK,LAX,Business,Website,16,757.53,12120.48,0.63
2024-01-04,JFK,LAX,First,Corporate,17,970.33,16495.61,0.94
2024-01-04,ATL,BOS,Economy,Website,123,120.92,14873.16,0.84
2024-01-04,ATL,BOS,Premium Economy,Travel Agent,30,349.87,10496.1,0.81
2024-01-04,ATL,BOS,Business,Corporate,37,774.14,28643.18,0.74
2024-01-04,ATL,BOS,First,Mobile App,32,1378.07,44098.24,0.74
2024-01-05,DEN,ORD,Economy,Website,65,136.04,8842.6,0.67
2024-01-05,DEN,ORD,Premium Economy,Travel Agent,7,342.04,2394.28,0.61
2024-01-05,DEN,ORD,Business,Mobile App,11,631.6,6947.6,0.85
2024-01-05,DEN,ORD,First,Website,23,1184.74,27249.02,0.78
2024-01-05,LAX,SEA,Economy,Corporate,112,97.74,10946.88,0.72
2024-01-05,LAX,SEA,Premium Economy,Website,38,337.06,12808.28,0.71
2024-01-05,LAX,SEA,Business,Website,21,809.86,17007.06,0.87
2024-01-05,LAX,SEA,First,Corporate,36,1257.27,45261.72,0.89
2024-01-05,SFO,SEA,Economy,Mobile App,74,122.79,9086.46,0.74
2024-01-05,SFO,SEA,Premium Economy,Website,27,272.87,7367.49,0.86
2024-01-05,SFO,SEA,Business,Corporate,36,802.47,28888.92,0.56
2024-01-05,SFO,SEA,First,Corporate,3,1288.83,3866.49,0.59
2024-01-05,ATL,BOS,Economy,Corporate,123,102.06,12553.38,0.63
2024-01-05,ATL,BOS,Premium Economy,Travel Agent,15,271.53,4072.95,0.75
2024-01-05,ATL,BOS,Business,Travel Agent,26,752.05,19553.3,0.67
2024-01-05,ATL,BOS,First,Corporate,7,1089.14,7623.98,0.75
2024-01-05,JFK,ORD,Economy,Website,94,152.87,14369.78,0.65
2024-01-05,JFK,ORD,Premium Economy,Website,4,326.71,1306.84,0.87
2024-01-05,JFK,ORD,Business,Mobile App,3,573.1,1719.3,0.82
2024-01-05,JFK,ORD,First,Mobile App,9,1015.02,9135.18,0.79
2024-01-05,JFK,MIA,Economy,Mobile App,70,121.42,8499.4,0.88
2024-01-05,JFK,MIA,Premium Economy,Mobile App,9,302.65,2723.85,0.88
2024-01-05,JFK,MIA,Business,Mobile App,8,816.86,6534.88,0.8
2024-01-05,JFK,MIA,First,Travel Agent,26,1279.37,33263.62,0.72
2024-01-05,MIA,ATL,Economy,Mobile App,165,98.55,16260.75,0.65
2024-01-05,MIA,ATL,Premium Economy,Travel Agent,40,336.18,13447.2,0.9
2024-01-05,MIA,ATL,Business,Website,29,620.18,17985.22,0.83
2024-01-05,MIA,ATL,First,Website,23,1238.3,28480.9,0.56
2024-01-06,ATL,BOS,Economy,Travel Agent,142,130.3,18502.6,0.88
2024-01-06,ATL,BOS,Premium Economy,Corporate,39,279.28,10891.92,0.67
2024-01-06,ATL,BOS,Business,Mobile App,7,774.19,5419.33,0.67
2024-01-06,ATL,BOS,First,Corporate,31,1084.19,33609.89,0.8
2024-01-06,JFK,SFO,Economy,Corporate,131,113.86,14915.66,0.92
2024-01-06,JFK,SFO,Premium Economy,Mobile App,24,286.41,6873.84,0.89
2024-01-06,JFK,SFO,Business,Travel Agent,40,598.67,23946.8,0.85
2024-01-06,JFK,SFO,First,Travel Agent,35,1267.61,44366.35,0.96
2024-01-06,ORD,DFW,Economy,Website,109,108.27,11801.43,0.76
2024-01-06,ORD,DFW,Premium Economy,Mobile App,33,314.27,10370.91,0.74
2024-01-06,ORD,DFW,Business,Website,16,539.24,8627.84,0.72
2024-01-06,ORD,DFW,First,Mobile App,39,1120.85,43713.15,0.71
2024-01-06,LAX,DEN,Economy,Travel Agent,145,119.1,17269.5,0.69
2024-01-06,LAX,DEN,Premium Economy,Corporate,18,256.69,4620.42,0.65
2024-01-06,LAX,DEN,Business,Mobile App,36,610.1,21963.6,0.96
2024-01-06,LAX,DEN,First,Mobile App,32,1053.43,33709.76,0.67
2024-01-06,BOS,DCA,Economy,Travel Agent,54,151.73,8193.42,0.68
2024-01-06,BOS,DCA,Premium Economy,Travel Agent,2,244.14,488.28,0.85
2024-01-06,BOS,DCA,Business,Mobile App,5,596.97,2984.85,0.79
2024-01-06,BOS,DCA,First,Mobile App,33,1315.87,43423.71,0.59
2024-01-06,SFO,SEA,Economy,Website,125,127.83,15978.75,0.76
2024-01-06,SFO,SEA,Premium Economy,Travel Agent,5,244.81,1224.05,0.66
2024-01-06,SFO,SEA,Business,Corporate,6,545.94,3275.64,0.72
2024-01-06,SFO,SEA,First,Website,5,1280.09,6400.45,0.62
2024-01-06,DEN,ORD,Economy,Travel Agent,68,99.09,6738.12,0.6
2024-01-06,DEN,ORD,Premium Economy,Corporate,16,302.71,4843.36,0.88
2024-01-06,DEN,ORD,Business,Corporate,30,653.09,19592.7,0.68
2024-01-06,DEN,ORD,First,Corporate,5,1120.36,5601.8,0.81
2024-01-06,JFK,ORD,Economy,Website,58,149.8,8688.4,0.82
2024-01-06,JFK,ORD,Premium Economy,Travel Agent,12,310.13,3721.56,0.65
2024-01-06,JFK,ORD,Business,Website,28,559.46,15664.88,0.74
2024-01-06,JFK,ORD,First,Corporate,16,1112.06,17792.96,0.67
2024-01-06,MIA,ATL,Economy,Travel Agent,121,135.42,16385.82,0.58
2024-01-06,MIA,ATL,Premium Economy,Mobile App,39,346.28,13504.92,0.83
2024-01-06,MIA,ATL,Business,Mobile App,36,645.01,23220.36,0.65
2024-01-06,MIA,ATL,First,Mobile App,11,1474.95,16224.45,0.58
2024-01-07,LAX,SEA,Economy,Travel Agent,74,135.22,10006.28,0.77
2024-01-07,LAX,SEA,Premium Economy,Corporate,40,279.58,11183.2,0.57
2024-01-07,LAX,SEA,Business,Corporate,40,743.55,29742.0,0.66
2024-01-07,LAX,SEA,First,Website,38,1075.41,40865.58,0.8
2024-01-07,MIA,ATL,Economy,Website,177,152.85,27054.45,0.9
2024-01-07,MIA,ATL,Premium Economy,Website,13,324.22,4214.86,0.75
2024-01-07,MIA,ATL,Business,Corporate,13,801.37,10417.81,0.98
2024-01-07,MIA,ATL,First,Corporate,33,1314.05,43363.65,0.97
2024-01-07,DEN,ORD,Economy,Corporate,90,114.54,10308.6,0.69
2024-01-07,DEN,ORD,Premium Economy,Website,23,337.2,7755.6,0.73
2024-01-07,DEN,ORD,Business,Corporate,27,601.4,16237.8,0.9
2024-01-07,DEN,ORD,First,Website,22,1208.24,26581.28,0.66
2024-01-07,BOS,DCA,Economy,Website,108,151.13,16322.04,0.92
2024-01-07,BOS,DCA,Premium Economy,Website,36,309.75,11151.0,0.75
2024-01-07,BOS,DCA,Business,Website,25,569.35,14233.75,0.82
2024-01-07,BOS,DCA,First,Corporate,5,1308.54,6542.7,0.64
2024-01-07,ATL,BOS,Economy,Mobile App,117,148.63,17389.71,0.93
2024-01-07,ATL,BOS,Premium Economy,Corporate,40,236.18,9447.2,0.89
2024-01-07,ATL,BOS,Business,Mobile App,2,608.57,1217.14,0.79
2024-01-07,ATL,BOS,First,Website,9,1072.92,9656.28,0.75
2024-01-07,JFK,LAX,Economy,Website,44,132.17,5815.48,0.76
2024-01-07,JFK,LAX,Premium Economy,Travel Agent,19,289.34,5497.46,0.73
2024-01-07,JFK,LAX,Business,Corporate,17,821.81,13970.77,0.75
2024-01-07,JFK,LAX,First,Mobile App,40,1166.35,46654.0,0.77
2024-01-07,JFK,ORD,Economy,Mobile App,75,144.88,10866.0,0.88
2024-01-07,JFK,ORD,Premium Economy,Corporate,34,266.15,9049.1,0.66
2024-01-07,JFK,ORD,Business,Website,21,599.68,12593.28,0.91
2024-01-07,JFK,ORD,First,Corporate,30,1449.57,43487.1,0.78
2024-01-08,LAX,DEN,Economy,Corporate,110,107.81,11859.1,0.57
2024-01-08,LAX,DEN,Premium Economy,Corporate,26,316.28,8223.28,0.72
2024-01-08,LAX,DEN,Business,Mobile App,4,667.36,2669.44,0.6
2024-01-08,LAX,DEN,First,Travel Agent,30,1452.18,43565.4,0.59
2024-01-08,SFO,SEA,Economy,Corporate,41,94.98,3894.18,0.73
2024-01-08,SFO,SEA,Premium Economy,Mobile App,18,229.79,4136.22,0.7
2024-01-08,SFO,SEA,Business,Corporate,23,716.57,16481.11,0.92
2024-01-08,SFO,SEA,First,Corporate,33,1501.83,49560.39,0.93
2024-01-08,DEN,ORD,Economy,Website,65,130.39,8475.35,0.82
2024-01-08,DEN,ORD,Premium Economy,Travel Agent,7,356.37,2494.59,0.74
2024-01-08,DEN,ORD,Business,Website,8,751.78,6014.24,0.74
2024-01-08,DEN,ORD,First,Travel Agent,4,1472.01,5888.04,0.69
2024-01-08,ORD,DFW,Economy,Website,100,111.33,11133.0,0.74
2024-01-08,ORD,DFW,Premium Economy,Mobile App,38,292.4,11111.2,0.84
2024-01-08,ORD,DFW,Business,Mobile App,7,563.74,3946.18,0.81
2024-01-08,ORD,DFW,First,Corporate,17,1305.19,22188.23,0.76
2024-01-08,ATL,BOS,Economy,Mobile App,168,107.73,18098.64,0.66
2024-01-08,ATL,BOS,Premium Economy,Travel Agent,31,311.01,9641.31,0.94
2024-01-08,ATL,BOS,Business,Mobile App,24,533.13,12795.12,0.97
2024-01-08,ATL,BOS,First,Travel Agent,29,1316.5,38178.5,0.85
2024-01-08,JFK,MIA,Economy,Corporate,55,143.78,7907.9,0.98
2024-01-08,JFK,MIA,Premium Economy,Corporate,26,234.15,6087.9,0.8
2024-01-08,JFK,MIA,Business,Travel Agent,20,825.77,16515.4,0.56
2024-01-08,JFK,MIA,First,Corporate,38,1102.19,41883.22,0.92
2024-01-08,JFK,SFO,Economy,Website,132,147.62,19485.84,0.91
2024-01-08,JFK,SFO,Premium Economy,Travel Agent,16,325.95,5215.2,0.81
2024-01-08,JFK,SFO,Business,Travel Agent,14,579.35,8110.9,0.82
2024-01-08,JFK,SFO,First,Mobile App,4,1310.21,5240.84,0.68
2024-01-08,BOS,DCA,Economy,Corporate,98,96.04,9411.92,0.86
2024-01-08,BOS,DCA,Premium Economy,Website,22,344.32,7575.04,0.87
2024-01-08,BOS,DCA,Business,Mobile App,36,573.55,20647.8,0.93
2024-01-08,BOS,DCA,First,Travel Agent,19,1252.94,23805.86,0.91
2024-01-09,ATL,BOS,Economy,Corporate,147,150.96,22191.12,0.71
2024-01-09,ATL,BOS,Premium Economy,Corporate,36,221.43,7971.48,0.6
2024-01-09,ATL,BOS,Business,Travel Agent,18,723.9,13030.2,0.8
2024-01-09,ATL,BOS,First,Travel Agent,16,1004.51,16072.16,0.75
2024-01-09,LAX,SEA,Economy,Travel Agent,61,147.9,9021.9,0.83
2024-01-09,LAX,SEA,Premium Economy,Corporate,21,344.29,7230.09,0.83
2024-01-09,LAX,SEA,Business,Website,4,554.12,2216.48,0.68
2024-01-09,LAX,SEA,First,Corporate,17,1009.08,17154.36,0.93
2024-01-09,LAX,DEN,Economy,Mobile App,99,116.93,11576.07,0.84
2024-01-09,LAX,DEN,Premium Economy,Corporate,11,300.1,3301.1,0.93
2024-01-09,LAX,DEN,Business,Website,28,775.13,21703.64,0.95
2024-01-09,LAX,DEN,First,Travel Agent,25,960.04,24001.0,0.64
2024-01-09,JFK,SFO,Economy,Corporate,97,149.97,14547.09,0.59
2024-01-09,JFK,SFO,Premium Economy,Travel Agent,24,294.22,7061.28,0.58
2024-01-09,JFK,SFO,Business,Travel Agent,9,570.05,5130.45,0.96
2024-01-09,JFK,SFO,First,Corporate,15,994.7,14920.5,0.83
2024-01-09,BOS,DCA,Economy,Website,90,97.05,8734.5,0.65
2024-01-09,BOS,DCA,Premium Economy,Mobile App,15,327.49,4912.35,0.58
2024-01-09,BOS,DCA,Business,Mobile App,16,696.36,11141.76,0.69
2024-01-09,BOS,DCA,First,Mobile App,40,1404.52,56180.8,0.55
2024-01-09,JFK,LAX,Economy,Mobile App,143,152.15,21757.45,0.66
2024-01-09,JFK,LAX,Premium Economy,Mobile App,3,234.6,703.8,0.61
2024-01-09,JFK,LAX,Business,Travel Agent,17,761.21,12940.57,0.8
2024-01-09,JFK,LAX,First,Website,5,1043.26,5216.3,0.6
2024-01-09,SFO,SEA,Economy,Corporate,21,125.01,2625.21,0.75
2024-01-09,SFO,SEA,Premium Economy,Travel Agent,8,289.94,2319.52,0.74
2024-01-09,SFO,SEA,Business,Mobile App,4,810.71,3242.84,0.86
2024-01-09,SFO,SEA,First,Travel Agent,3,1210.13,3630.39,0.58
2024-01-09,MIA,ATL,Economy,Corporate,114,143.9,16404.6,0.85
2024-01-09,MIA,ATL,Premium Economy,Corporate,30,317.26,9517.8,0.58
2024-01-09,MIA,ATL,Business,Website,11,612.19,6734.09,0.58
2024-01-09,MIA,ATL,First,Travel Agent,39,1307.9,51008.1,0.79
2024-01-10,ORD,DFW,Economy,Website,34,140.71,4784.14,0.92
2024-01-10,ORD,DFW,Premium Economy,Mobile App,16,278.53,4456.48,0.73
2024-01-10,ORD,DFW,Business,Corporate,8,636.6,5092.8,0.68
2024-01-10,ORD,DFW,First,Travel Agent,25,1331.88,33297.0,0.96
2024-01-10,MIA,ATL,Economy,Corporate,26,98.03,2548.78,0.59
2024-01-10,MIA,ATL,Premium Economy,Website,25,321.68,8042.0,0.9
2024-01-10,MIA,ATL,Business,Website,37,696.39,25766.43,0.79
2024-01-10,MIA,ATL,First,Website,29,1182.36,34288.44,0.92
2024-01-10,SFO,SEA,Economy,Website,158,151.02,23861.16,0.68
2024-01-10,SFO,SEA,Premium Economy,Website,15,298.81,4482.15,0.62
2024-01-10,SFO,SEA,Business,Corporate,8,581.02,4648.16,0.7
2024-01-10,SFO,SEA,First,Travel Agent,19,1008.35,19158.65,0.8
2024-01-10,LAX,SEA,Economy,Corporate,164,143.78,23579.92,0.81
2024-01-10,LAX,SEA,Premium Economy,Website,19,303.07,5758.33,0.56
2024-01-10,LAX,SEA,Business,Travel Agent,21,733.41,15401.61,0.95
2024-01-10,LAX,SEA,First,Travel Agent,11,944.39,10388.29,0.79
2024-01-10,ATL,BOS,Economy,Corporate,167,98.17,16394.39,0.97
2024-01-10,ATL,BOS,Premium Economy,Website,15,321.89,4828.35,0.71
2024-01-10,ATL,BOS,Business,Corporate,25,618.18,15454.5,0.68
2024-01-10,ATL,BOS,First,Travel Agent,38,1397.58,53108.04,0.81
2024-01-10,DEN,ORD,Economy,Website,163,103.23,16826.49,0.57
2024-01-10,DEN,ORD,Premium Economy,Website,29,256.85,7448.65,0.76
2024-01-10,DEN,ORD,Business,Corporate,15,641.52,9622.8,0.87
2024-01-10,DEN,ORD,First,Website,9,1143.76,10293.84,0.67
2024-01-10,BOS,DCA,Economy,Corporate,83,125.06,10379.98,0.57
2024-01-10,BOS,DCA,Premium Economy,Corporate,5,354.59,1772.95,0.55
2024-01-10,BOS,DCA,Business,Travel Agent,10,810.69,8106.9,0.88
2024-01-10,BOS,DCA,First,Travel Agent,2,1133.74,2267.48,0.76
2024-01-10,JFK,ORD,Economy,Corporate,102,104.41,10649.82,0.78
2024-01-10,JFK,ORD,Premium Economy,Mobile App,24,288.16,6915.84,0.58
2024-01-10,JFK,ORD,Business,Website,31,648.54,20104.74,0.95
2024-01-10,JFK,ORD,First,Travel Agent,38,1279.35,48615.3,0.72
2024-01-11,LAX,SEA,Economy,Website,32,119.76,3832.32,0.65
2024-01-11,LAX,SEA,Premium Economy,Corporate,27,291.41,7868.07,0.92
2024-01-11,LAX,SEA,Business,Travel Agent,12,580.17,6962.04,0.58
2024-01-11,LAX,SEA,First,Website,14,1252.8,17539.2,0.94
2024-01-11,JFK,SFO,Economy,Travel Agent,170,114.72,19502.4,0.9
2024-01-11,JFK,SFO,Premium Economy,Mobile App,18,233.62,4205.16,0.63
2024-01-11,JFK,SFO,Business,Mobile App,6,751.73,4510.38,0.63
2024-01-11,JFK,SFO,First,Corporate,38,1213.6,46116.8,0.88
2024-01-11,ORD,DFW,Economy,Corporate,149,134.13,19985.37,0.83
2024-01-11,ORD,DFW,Premium Economy,Travel Agent,22,338.09,7437.98,0.61
2024-01-11,ORD,DFW,Business,Website,21,658.95,13837.95,0.89
2024-01-11,ORD,DFW,First,Website,6,1147.74,6886.44,0.68
2024-01-11,JFK,LAX,Economy,Corporate,99,96.29,9532.71,0.91
2024-01-11,JFK,LAX,Premium Economy,Website,7,307.97,2155.79,0.81
2024-01-11,JFK,LAX,Business,Corporate,37,656.97,24307.89,0.96
2024-01-11,JFK,LAX,First,Website,38,1205.24,45799.12,0.83
2024-01-11,LAX,DEN,Economy,Travel Agent,133,129.65,17243.45,0.61
2024-01-11,LAX,DEN,Premium Economy,Website,23,281.33,6470.59,0.97
2024-01-11,LAX,DEN,Business,Website,13,670.3,8713.9,0.57
2024-01-11,LAX,DEN,First,Corporate,35,1523.5,53322.5,0.77
2024-01-11,DEN,ORD,Economy,Mobile App,77,115.48,8891.96,0.72
2024-01-11,DEN,ORD,Premium Economy,Travel Agent,5,312.66,1563.3,0.89
2024-01-11,DEN,ORD,Business,Travel Agent,8,530.59,4244.72,0.79
2024-01-11,DEN,ORD,First,Corporate,40,1107.88,44315.2,0.93
2024-01-11,BOS,DCA,Economy,Travel Agent,174,98.87,17203.38,0.61
2024-01-11,BOS,DCA,Premium Economy,Travel Agent,27,262.08,7076.16,0.61
2024-01-11,BOS,DCA,Business,Website,26,608.2,15813.2,0.83
2024-01-11,BOS,DCA,First,Travel Agent,35,1418.95,49663.25,0.59
2024-01-11,JFK,ORD,Economy,Corporate,9,123.98,1115.82,0.71
2024-01-11,JFK,ORD,Premium Economy,Mobile App,23,350.02,8050.46,0.96
2024-01-11,JFK,ORD,Business,Corporate,10,570.75,5707.5,0.62
2024-01-11,JFK,ORD,First,Travel Agent,8,1437.32,11498.56,0.77
2024-01-11,JFK,MIA,Economy,Website,163,133.0,21679.0,0.61
2024-01-11,JFK,MIA,Premium Economy,Corporate,13,240.68,3128.84,0.91
2024-01-11,JFK,MIA,Business,Mobile App,4,739.3,2957.2,0.73
2024-01-11,JFK,MIA,First,Mobile App,20,1510.92,30218.4,0.87
2024-01-12,JFK,ORD,Economy,Corporate,102,139.32,14210.64,0.77
2024-01-12,JFK,ORD,Premium Economy,Corporate,14,352.09,4929.26,0.89
2024-01-12,JFK,ORD,Business,Mobile App,5,787.65,3938.25,0.83
2024-01-12,JFK,ORD,First,Travel Agent,8,1266.87,10134.96,0.86
2024-01-12,SFO,SEA,Economy,Website,46,110.84,5098.64,0.67
2024-01-12,SFO,SEA,Premium Economy,Mobile App,7,333.54,2334.78,0.96
2024-01-12,SFO,SEA,Business,Mobile App,24,769.72,18473.28,0.95
2024-01-12,SFO,SEA,First,Corporate,34,972.12,33052.08,0.71
2024-01-12,BOS,DCA,Economy,Corporate,100,152.56,15256.0,0.65
2024-01-12,BOS,DCA,Premium Economy,Travel Agent,23,347.23,7986.29,0.89
2024-01-12,BOS,DCA,Business,Mobile App,32,521.8,16697.6,0.85
2024-01-12,BOS,DCA,First,Mobile App,32,1387.0,44384.0,0.74
2024-01-12,LAX,SEA,Economy,Website,9,147.34,1326.06,0.66
2024-01-12,LAX,SEA,Premium Economy,Mobile App,40,294.82,11792.8,0.78
2024-01-12,LAX,SEA,Business,Website,17,756.81,12865.77,0.68
2024-01-12,LAX,SEA,First,Website,31,1081.0,33511.0,0.58
2024-01-12,ATL,BOS,Economy,Corporate,9,129.17,1162.53,0.82
